#{"t_start": 1721083900.5577693, "env_id": "fertilization-v0"}
r,l,t
-1860.0,30,30.594661
-1860.0,30,41.289701
-1580.0,30,42.146212
-1500.0,30,52.957083
-1980.0,30,53.80853
-1700.0,30,54.635565
-1720.0,30,65.946983
-1600.0,30,66.790468
-2080.0,30,67.805515
-1720.0,30,79.520184
-2080.0,30,80.439256
-1860.0,30,91.288105
-2220.0,30,92.164522
-2120.0,30,103.395686
-1780.0,30,104.254582
-2320.0,30,105.11778
-1860.0,30,106.056954
-2180.0,30,106.937201
-2280.0,30,107.802067
-1700.0,30,108.657727
-1660.0,30,109.505526
-1540.0,30,110.361927
-1780.0,30,111.296884
-1560.0,30,112.232277
-1800.0,30,113.112604
-1720.0,30,124.143159
-1720.0,30,125.01507
-1960.0,30,125.90054
-1640.0,30,126.829203
-2220.0,30,127.734285
-2060.0,30,128.59525
-2120.0,30,129.463633
-1820.0,30,130.317475
-2180.0,30,131.178351
-2020.0,30,132.303066
-1740.0,30,133.200827
-2000.0,30,134.064406
-2080.0,30,134.921394
-1560.0,30,135.787424
-2080.0,30,136.648344
-1860.0,30,137.514843
-2120.0,30,138.398125
-1860.0,30,139.324003
-1680.0,30,140.216869
-2060.0,30,141.099197
-2160.0,30,142.036964
-1740.0,30,142.937803
-1260.0,30,143.796666
-2120.0,30,144.651212
-1540.0,30,145.508393
-1600.0,30,146.361681
-1880.0,30,147.274
-2100.0,30,148.144435
-1660.0,30,149.023007
-1820.0,30,149.885609
-1720.0,30,150.772141
-1820.0,30,151.641512
-2020.0,30,152.524657
-1420.0,30,153.415825
-1640.0,30,154.299615
-1840.0,30,155.195489
-1700.0,30,156.091557
-1820.0,30,156.969713
-1840.0,30,157.886889
-1700.0,30,158.791473
-1800.0,30,159.68341
-1420.0,30,160.542349
-2200.0,30,161.442134
-1980.0,30,162.467627
-1900.0,30,163.336669
-1820.0,30,164.233988
-1640.0,30,165.151692
-1760.0,30,166.026494
-1360.0,30,166.888022
-1440.0,30,167.805101
-1960.0,30,168.680591
-1960.0,30,169.543832
-1940.0,30,170.435788
-1600.0,30,171.294803
-1900.0,30,172.179287
-1660.0,30,173.050907
-1840.0,30,173.907271
-1840.0,30,174.784724
-1700.0,30,175.690105
-1840.0,30,176.54792
-1460.0,30,177.42782
-2160.0,30,178.291648
-1540.0,30,179.172038
-2080.0,30,180.04084
-1960.0,30,180.918134
-1900.0,30,181.791818
-1900.0,30,182.666013
-1660.0,30,183.541814
-1940.0,30,184.408871
-1880.0,30,185.281918
-1960.0,30,186.14376
-1820.0,30,187.016154
-1820.0,30,187.901035
-1680.0,30,188.81916
-1860.0,30,189.701824
-1860.0,30,190.5974
-1780.0,30,191.488299
-2060.0,30,192.529433
-1740.0,30,193.450674
-1940.0,30,194.344558
-1960.0,30,195.315812
-1640.0,30,196.249674
-2120.0,30,197.163992
-1360.0,30,198.066363
-1960.0,30,198.936279
-1400.0,30,199.790072
-2000.0,30,200.663887
-1620.0,30,201.519321
-1860.0,30,202.420558
-2300.0,30,203.321696
-1640.0,30,204.193615
-1920.0,30,205.061241
-2000.0,30,205.956881
-1920.0,30,206.82629
-1500.0,30,207.689632
-1960.0,30,208.576987
-2000.0,30,209.439298
-1840.0,30,210.296327
-1880.0,30,211.162524
-2100.0,30,212.035218
-1740.0,30,212.903925
-1780.0,30,213.767837
-2300.0,30,214.626135
-1620.0,30,215.500252
-1760.0,30,216.36274
-1300.0,30,217.248991
-1620.0,30,218.175946
-1860.0,30,219.044709
-1880.0,30,219.90369
-1720.0,30,220.769135
-1740.0,30,221.636928
-2060.0,30,222.674531
-1760.0,30,223.596647
-1640.0,30,224.496671
-1940.0,30,225.374898
-1640.0,30,226.243226
-1880.0,30,227.109123
-1660.0,30,227.979388
-1840.0,30,228.85654
-1700.0,30,229.718273
-1860.0,30,230.58892
-1660.0,30,231.454799
-1440.0,30,232.342479
-1820.0,30,233.242857
-1680.0,30,234.140623
-1740.0,30,235.001513
-1840.0,30,235.87761
-1980.0,30,236.753144
-1660.0,30,237.62849
-1400.0,30,238.494122
-1720.0,30,239.368506
-2320.0,30,240.257029
-1600.0,30,241.150233
-1960.0,30,242.057597
-1900.0,30,243.010297
-1660.0,30,243.893222
-1720.0,30,244.765401
-1860.0,30,245.636639
-2520.0,30,246.505883
-2120.0,30,247.387609
-1460.0,30,248.256069
-1860.0,30,249.139379
-1900.0,30,250.015739
-1560.0,30,250.891786
-1880.0,30,251.767123
-2200.0,30,252.791556
-2000.0,30,253.670303
-1980.0,30,254.586049
-1720.0,30,255.45837
-1860.0,30,256.331761
-1840.0,30,257.200734
-1700.0,30,258.083722
-1360.0,30,258.966926
-1380.0,30,259.836693
-1760.0,30,260.703604
-1860.0,30,261.559614
-2000.0,30,262.424631
-1880.0,30,263.28951
-1780.0,30,264.156518
-2020.0,30,265.019289
-1840.0,30,265.888018
-1880.0,30,266.764833
-2020.0,30,267.675404
-1640.0,30,268.537762
-1880.0,30,269.42861
-1540.0,30,270.295789
-2060.0,30,271.187211
-1900.0,30,272.048387
-1680.0,30,272.910122
-1460.0,30,273.809402
-2180.0,30,274.698947
-1640.0,30,275.582969
-1860.0,30,276.450512
-1700.0,30,277.362061
-1680.0,30,278.25013
-2260.0,30,279.152615
-1360.0,30,280.028298
-1700.0,30,280.902054
-1820.0,30,281.786415
-1540.0,30,282.821084
-1960.0,30,283.704731
-1440.0,30,284.570042
-1680.0,30,285.438833
-1760.0,30,286.302487
-1660.0,30,287.170936
-1780.0,30,288.040488
-2000.0,30,288.912508
-1760.0,30,289.789243
-2300.0,30,290.665346
-1840.0,30,291.527011
-2140.0,30,292.413268
-2120.0,30,293.270832
-1540.0,30,294.144731
-1880.0,30,295.006011
-1820.0,30,295.934841
-1780.0,30,296.796889
-1700.0,30,297.657898
-1560.0,30,298.527279
-1800.0,30,299.408092
-1860.0,30,300.269385
-1860.0,30,301.133246
-1940.0,30,301.983294
-1780.0,30,302.838368
-1300.0,30,303.701936
-2000.0,30,304.566637
-1940.0,30,305.4167
-1740.0,30,306.266914
-1700.0,30,307.128946
-1580.0,30,307.987868
-1700.0,30,308.858939
-1680.0,30,309.71634
-1800.0,30,310.57072
-1680.0,30,311.45067
-1780.0,30,312.514621
-1440.0,30,313.374907
-1780.0,30,314.229993
-1920.0,30,315.086594
-2000.0,30,315.939604
-1720.0,30,316.838342
-1900.0,30,317.716138
-1800.0,30,318.589665
-1920.0,30,319.465031
-2140.0,30,320.34612
-1480.0,30,321.249698
-1320.0,30,322.118679
-1600.0,30,322.983726
-1720.0,30,323.859088
-2220.0,30,324.721499
-1360.0,30,325.610275
-1720.0,30,326.51001
-1820.0,30,327.381037
-1820.0,30,328.234866
-1600.0,30,329.093351
-1800.0,30,329.940795
-1860.0,30,330.812615
-1560.0,30,331.717914
-1860.0,30,332.590675
-1720.0,30,333.483834
-1440.0,30,334.390642
-1960.0,30,335.261158
-1980.0,30,336.153584
-1820.0,30,337.072415
